Performance.KDTMean;Performance.MAMean;Performance.MVMean;Performance.TBCMean;Performance.DDCMean;Performance.DMSMean;Performance.AEDMean;Performance.ADMSLMean;FatigueLevel;Performance.Task
0,076801943;-0,064339256;-0,053789132;0,035045354;0,051568829;0,005703662;0,05991682;-0,114707399;0;0
0,010149286;-0,001140167;0,004001046;-0,002827059;-0,005825047;-0,020675084;0,011658487;-0,137504108;0;0
0,010021276;0,06114816;0,059104508;-0,080837303;0,020880808;0,037986766;-0,043789944;0,142081932;0;-1
0,010933719;-0,18820918;-0,071700677;0;0,165825395;-0,005116108;0,011003401;-0,075511466;0;0
0,000838796;0,16877221;0,229322531;0,00551393;0,284131468;0,001335057;0,003473675;-0,024189517;0;-1
-0,021591441;0,623877046;0,026432378;-0,014665124;-0,046706545;-0,002743575;-0,034710345;0,18349577;0;0
-0,021591441;-0,026817551;-0,000483052;-0,006834658;-0,046340516;0,004493061;0,009477136;-0,088758423;0;0
-0,021591441;0,256272007;0,023234101;-0,014665124;-0,025081081;-0,014058251;-0,139192436;-0,233807643;0;1
-0,002280792;-0,009628833;-0,000731102;0,012764451;0,003910447;0,018151697;-0,011831443;0,127959371;0;0
-0,093332913;0,179233905;0,092014741;-0,011400413;0,009233716;-0,020392433;0,005262348;-0,023351077;0;1
0,001247988;0,013217787;0,010367737;0,165067612;-0,007729152;0,045932792;0,002885087;0,194021493;1;-1
0,252201895;-0,151006339;-0,122995607;0,030649963;0,022046496;-0,170826856;-0,002686229;-0,231397798;0;-1
-0,093332913;-0,055813429;-0,050503894;-0,019502647;0,438341775;-0,041740992;-0,000382837;-0,072915764;0;1
0,002177368;-0,138371722;-0,004602617;0,026078595;0,040862944;-0,009159909;0,046545023;-0,152252237;0;-1
0,009929932;-0,03601129;-0,05501935;-0,018760284;0,032479209;0,01672836;-0,030019499;0,17690465;0;0
0,010040935;0,015343001;0,020600819;-0,083027753;0,104417495;0,000858153;-0,003753766;0,041418293;1;-1
-0,000703995;-0,189384243;-0,083910697;0,011095613;0,974692615;0,079573381;0,031968946;0,543457614;0;0
-0,000681545;-0,212793685;-0,11437264;-0,017847939;-0,009678647;-0,026167799;-0,064480633;-0,196165303;0;0
-0,000985596;0,004020162;0,001867341;0,019377087;-0,034157918;0,06452889;-0,045061241;0,381575862;0;0
0,142692371;-0,751687031;-0,497031699;-0,022357034;-0,053603125;-0,116578866;-0,064490455;-0,416236754;0;-1
0,00177696;0,047509687;0,048379579;-0,099514021;-0,004186424;0,035535105;0,000787927;0,237570515;1;-1
0,009716338;-0,000261132;-5,34474E-05;-0,027486007;0,022443462;0,01800711;-0,033549642;0,034274238;0;1
0,214585193;-0,010993866;0,004291677;1;-0,094103847;-0,075317521;-0,001355803;-0,323783138;0;0
-0,014579474;0,049817239;-0,014164097;-0,008932822;-0,053603125;-0,022285775;-0,0175612;0,142440464;0;0
0,0195675;0,031678537;0,041037929;-0,083818994;0,007992051;0,021274727;-0,013862489;0,108745314;1;-1
-3,86826E-05;0,019676626;0,033377464;0,001810193;-0,014760177;0,005173905;-0,005180905;0,075767571;0;-1
0,000564613;0,038958111;0,01137853;0,031549956;0,243516219;0,012617826;0,023633806;0,076079737;0;-1
-0,000570474;-0,191434812;-0,018432776;-0,008381751;-0,006580394;-0,004736003;-0,006953388;0,012957881;0;0
-0,118737635;-0,045414801;-0,036343705;-0,008915809;-0,017944549;0,008589307;0,002222964;0,048326372;0;-1
-0,000524409;0,29396157;0,010713102;0,006063169;-0,024311228;-0,007439099;-0,037475853;-0,066304451;0;0
0,454054522;0,008457371;0,067031432;-0,005208586;0,557603497;-0,081896249;0,026325357;-0,267724447;0;-1
-0,001362522;0,037788159;0,033866995;0,03455169;-0,001874299;0,042374231;0,07674959;0,234504279;1;0
0,000611036;-0,006059534;-0,000773486;-6,14576E-05;0,142766821;0,021099641;-0,016200557;0,099413525;0;0
-0,115746178;0,100031987;0,181336083;0,239268551;-0,280599092;0,566188826;1;0,925875969;0;1
0,000611652;0,009167465;0,009154546;-0,084152202;-0,019013693;-0,008922953;-0,023379486;-0,013780343;0;-1
0,000379862;-0,184592251;-0,047582335;0,008517674;0,159187904;0,025402359;-0,002596347;0,141163194;0;0
0,001569498;0,038427964;0,042207642;-0,087061367;0,034277395;-0,008798049;0,052910996;-0,020504051;0;-1
-0,000401171;0,001354048;0,007879528;-0,095359781;0,144700856;-0,00384605;-0,006156339;-0,019282515;0;-1
-0,093332913;0,148122991;0,141985794;-0,027784455;-0,006088872;-0,057618065;0,016898779;-0,086862895;0;1
-0,014124566;0,014008315;0,026194362;0,027743568;-0,009678647;0,038727273;-0,016828392;0,231239158;0;0
-0,002222671;-0,002373076;-0,000542498;0,034307208;0,033427648;-0,006052709;-0,006054057;-0,005523229;0;-1
0,000344701;-0,050022055;-0,024675002;0,063229583;0,815007942;-0,017003677;0,011748089;-0,151524467;1;0
-0,000330536;-0,031640964;-0,014171444;0,050245006;0,02889745;0,00837013;0,088082172;-0,06750345;0;0
0,022045355;-0,055903113;-0,056047687;0,036531107;0,075204929;-0,017294663;-0,000117317;-0,019833047;0;1
-0,001793726;-0,212793685;-0,11437264;-0,017847939;-0,009678647;-0,026167799;-0,064480633;-0,196165303;0;0
-0,000778046;0,026787632;-0,025701599;-0,004130898;0,111872767;0,031497533;0,002870087;0,095320302;0;0
-2,41889E-05;-0,175308103;-0,123141398;0,00632048;0,718572521;0,42056191;0,197310623;-0,238459553;0;-1
0,002181081;-0,080187479;-0,002170408;0,013386812;0,027837902;0,001678364;0,026955182;-0,185269983;0;0
0,009517317;-0,414242672;-0,475077301;-0,009453617;-0,064026263;-0,005594278;-0,008783411;-0,109217655;0;0
0,000506552;-0,089777334;-0,077372151;0,016785658;0,156232507;-0,184960639;-0,010458736;-0,284611324;0;-1
-0,000840076;0,046607532;0,050224681;-0,104231369;0,057084238;-0,004917511;-0,034720848;-0,004335393;0;-1
0,000221564;-0,011199699;-0,027972075;0,01720273;-0,008571143;0,165082537;-0,034440724;0,16957627;0;-1
0,00474682;-0,003504641;0,000229945;-0,00988402;-0,040453726;0,004346066;0,02269082;0,031285925;0;-1
-0,004410008;0,000174802;0,000324823;0,130551274;0,048638063;0,037587182;0,005639417;0,023492558;0;0
0,005174261;0,03796769;0,051870854;0,035614372;-0,006767844;-0,001351251;0,034480601;0,005561384;1;-1
4,4131E-06;0,060883059;0,048003295;0,002268287;0,12868761;0,059929513;-0,017652811;0,338092765;0;0
0,000675541;-0,104606227;-0,003113819;-0,002195496;-0,04468465;-0,002546861;-0,01019105;-0,058337793;0;0
0,009756316;0,000947028;0,000513108;0,053683772;0,079785646;0,027410022;-0,000729272;0,10220174;0;1
0,002852184;-0,083238809;-0,002930074;-0,007919766;-0,014219276;0,003600567;0,008231948;0,021313894;0;-1
0,004043265;0,004194765;0,013902288;0,045987822;-0,010217119;-0,007803029;-0,012135907;-0,027814181;0;-1
0,000170083;0,014060705;-0,106309777;0,037016496;-0,03515153;0,027994424;0,006422094;0,113071293;0;-1
0,000895369;0,169507393;0,137699293;0,047872323;0,032778313;0,013973976;-0,012881563;0,071703048;0;-1
0,066998136;0,002978782;0,006516013;-0,066401608;0,035522465;-0,007312067;0,01131376;-0,039322525;0;-1
0,2727242;0,048874764;0,049366477;-0,004650029;0,175438179;0,015838541;-0,007894541;0,083643477;0;0
0,18633598;0,288185366;0,313201293;0,012160377;0,527070665;0,183607941;-0,003683438;0,364614349;0;-1
0,00639476;-0,151901157;-0,08348221;-0,003187882;-0,050562891;0,379195394;-0,016584631;0,392501245;0;-1
-0,000619291;0,005980729;0,010222353;0,006262662;0,752302897;0,005624404;0,003155708;-0,009994229;1;0
0,043484683;0,002217082;0,00132995;-0,007666812;0,079160912;0,028056013;-0,009712229;0,174831427;0;1
-0,006544978;0,000470113;9,17033E-05;-0,022911786;-0,064004854;0,040137214;-0,05218514;0,202709573;1;-1
0,035699991;-0,138304018;-0,119216807;-0,004432084;0,193554763;-0,01062056;-0,010974027;-0,047099835;0;0
-0,001534138;-0,02272382;-0,005725026;-0,005085951;-0,009678647;-0,025953463;-0,028174832;-0,186245809;0;0
0,002900859;0,050326288;0,080299266;0,04072728;-0,064026263;0,00334912;0,068308143;-0,005809107;1;-1
0,00956291;-0,078745806;-0,112760271;0,002106093;0,002137744;-0,003471119;-0,003156114;-0,068800929;0;-1
0,232006506;-0,000109154;-0,00167606;0,184208438;-0,017922491;-0,0171079;0,130693026;-0,049364103;1;0
-0,118737635;-0,14405735;-0,177376353;0,013300941;-0,064026263;-0,004270385;-0,008586849;-0,077028459;0;-1
-0,000798151;0,014643639;0,000313655;0,00127624;-0,031127048;-0,004852831;0,006032648;-0,083184397;0;0
-0,014124566;0,004786336;0,00549032;0,012475021;-0,009678647;0,379197256;0,019371494;1;0;0
0,001455644;0,012703646;0,000584239;0,01298429;-0,009116869;-0,001696878;0,079715844;-0,06118826;0;0
-0,000838227;-0,161034741;-0,028624542;0,002442835;-0,005547642;-0,009747622;-0,009918886;-0,04093991;0;0
